timestamp,x,y,z
0,6.63,0.35,-6.94
10,6.58,0.59,-7.33
20,6.4,0.84,-7.49
30,5.85,1.08,-7.11
40,5.59,1.37,-6.99
50,5.63,1.69,-7.31
60,5.57,2.07,-7.68
70,4.98,2.53,-7.95
80,4.27,2.96,-7.85
90,3.78,3.34,-7.81
100,3.62,3.59,-7.81
110,4.02,3.74,-8.16
120,4.33,3.79,-8.39
130,4.87,3.73,-8.13
140,4.68,3.55,-7.38
150,4.53,3.47,-6.53
160,4.09,3.71,-6.37
170,3.06,4.32,-7.0
180,2.12,4.91,-7.7
190,0.99,4.93,-7.91
200,0.56,4.6,-7.13
210,0.95,4.06,-6.57
220,2.17,3.48,-6.93
230,3.38,3.07,-7.63
240,3.93,2.74,-7.88
250,3.67,2.46,-7.57
260,2.81,2.19,-6.85
270,2.28,1.57,-5.7
280,2.05,0.83,-4.57
290,2.55,0.14,-4.58
300,3.61,-0.27,-6.06
310,4.52,-0.57,-7.64
320,5.18,-0.9,-8.96
330,5.65,-1.22,-9.87
340,5.71,-1.89,-9.48
350,5.83,-2.91,-8.06
360,5.99,-3.78,-7.18
370,6.45,-4.37,-7.02
380,7.44,-4.88,-7.53
390,8.6,-5.2,-8.68
400,9.17,-5.29,-10.25
410,9.59,-5.33,-11.3
420,9.49,-5.27,-12.12
430,9.42,-5.41,-12.11
440,9.15,-5.45,-11.44
450,8.73,-5.26,-10.9
460,8.27,-4.92,-10.25
470,7.49,-4.44,-9.96
480,6.8,-3.9,-9.32
490,6.32,-3.47,-8.53
500,5.29,-2.81,-8.15
510,4.31,-2.02,-8.1
520,3.3,-1.27,-8.07
530,2.32,-0.49,-8.04
540,2.02,0.14,-7.81
550,1.75,0.75,-7.59
560,1.66,1.32,-7.41
570,1.59,2.09,-7.9
580,1.3,2.77,-7.91
590,1.15,3.38,-7.84
600,1.21,3.89,-7.75
610,1.18,4.28,-7.37
620,1.05,4.75,-7.46
630,1.04,5.27,-7.74
640,1.18,5.65,-8.0
650,1.25,6.0,-8.05
660,1.1,6.54,-8.65
670,1.29,6.99,-9.3
680,1.24,7.07,-8.71
690,1.23,7.03,-7.88
700,1.36,6.85,-7.24
710,1.62,6.65,-6.93
720,1.95,6.43,-7.03
730,2.26,6.46,-8.1
740,2.24,6.59,-9.35
750,2.06,6.7,-10.06
760,2.39,6.46,-10.24
770,2.64,6.1,-9.98
780,2.4,5.76,-9.56
790,1.91,5.28,-8.58
800,1.98,4.61,-7.23
810,2.3,3.9,-6.55
820,2.25,3.49,-6.77
830,2.11,3.5,-7.54
840,1.98,3.51,-8.37
850,2.3,3.44,-9.27
860,2.8,3.29,-10.11
870,2.87,2.94,-9.72
880,2.14,2.57,-8.71
890,1.32,2.02,-7.0
900,1.03,1.34,-5.34
910,1.13,1.11,-5.5
920,1.73,1.13,-7.2
930,2.55,0.91,-8.75
940,3.15,0.41,-9.25
950,3.43,-0.29,-8.73
960,3.16,-0.8,-8.08
970,2.85,-1.19,-7.61
980,3.02,-1.24,-7.89
990,3.51,-1.01,-8.86
1000,4.1,-0.75,-10.28
