timestamp,x,y,z
0,7.45,1.26,-5.69
10,7.64,1.25,-6.01
20,7.65,1.26,-6.28
30,7.65,1.32,-6.41
40,7.62,1.32,-6.25
50,7.56,1.33,-6.08
60,7.41,1.35,-5.97
70,7.41,1.38,-6.02
80,7.42,1.4,-6.09
90,7.48,1.41,-6.18
100,7.5,1.39,-6.2
110,7.49,1.43,-6.31
120,7.39,1.48,-6.22
130,7.31,1.48,-6.03
140,7.24,1.45,-5.78
150,7.27,1.41,-5.84
160,7.32,1.4,-5.93
170,7.33,1.44,-6.14
180,7.36,1.41,-6.17
190,7.5,1.34,-6.12
200,7.54,1.28,-5.99
210,7.46,1.28,-5.96
220,7.4,1.31,-5.89
230,7.39,1.29,-5.82
240,7.32,1.3,-5.79
250,7.34,1.3,-5.87
260,7.43,1.32,-5.93
270,7.51,1.33,-5.97
280,7.54,1.35,-5.98
290,7.45,1.4,-6.05
300,7.35,1.45,-6.06
310,7.41,1.41,-6.01
320,7.34,1.45,-6.05
330,7.28,1.54,-6.14
340,7.21,1.53,-5.99
350,7.15,1.55,-5.87
360,7.07,1.58,-5.89
370,7.14,1.55,-5.89
380,7.15,1.6,-6.13
390,7.13,1.62,-6.22
400,7.16,1.63,-6.18
410,7.2,1.62,-6.11
420,7.11,1.58,-6.06
430,7.0,1.57,-5.87
440,7.07,1.53,-5.78
450,7.17,1.43,-5.69
460,7.32,1.4,-5.77
470,7.38,1.47,-6.14
480,7.42,1.5,-6.36
490,7.42,1.38,-6.12
500,7.34,1.33,-5.84
510,7.3,1.32,-5.83
520,7.3,1.36,-5.97
530,7.38,1.36,-6.13
540,7.53,1.33,-6.12
550,7.67,1.27,-6.12
560,7.7,1.29,-6.21
570,7.61,1.27,-6.28
580,7.53,1.24,-6.14
590,7.36,1.26,-6.06
600,7.32,1.28,-6.03
610,7.35,1.29,-6.09
620,7.4,1.33,-6.19
630,7.4,1.36,-6.18
640,7.32,1.37,-6.12
650,7.24,1.41,-6.08
660,7.28,1.39,-5.98
670,7.33,1.36,-5.95
680,7.3,1.42,-6.14
690,7.26,1.43,-6.14
700,7.28,1.38,-6.06
710,7.34,1.4,-6.1
720,7.35,1.41,-6.06
730,7.3,1.44,-6.17
740,7.21,1.48,-6.17
750,7.26,1.42,-5.96
760,7.21,1.46,-5.94
770,7.17,1.52,-5.98
780,7.23,1.49,-5.98
790,7.25,1.52,-6.15
800,7.26,1.57,-6.22
810,7.31,1.63,-6.29
820,7.25,1.67,-6.19
830,7.02,1.69,-5.98
840,6.9,1.71,-5.81
850,6.88,1.66,-5.74
860,7.06,1.61,-6.0
870,7.09,1.64,-6.22
880,7.21,1.69,-6.39
890,7.2,1.75,-6.48
900,7.13,1.8,-6.54
910,7.0,1.87,-6.39
920,6.79,1.87,-6.16
930,6.66,1.89,-6.04
940,6.61,1.87,-6.01
950,6.71,1.84,-6.08
960,6.92,1.81,-6.39
970,7.2,1.7,-6.54
980,7.24,1.73,-6.66
990,7.07,1.75,-6.69
1000,7.02,1.63,-6.4
