timestamp,x,y,z
0,7.39,1.94,-6.85
10,6.97,1.69,-5.91
20,6.72,1.54,-5.47
30,6.79,1.61,-5.78
40,6.9,1.81,-6.05
50,6.67,1.63,-6.42
60,7.63,1.47,-6.76
70,7.9,1.29,-6.7
80,7.78,1.04,-6.45
90,7.6,1.02,-6.59
100,7.1,1.03,-6.84
110,6.46,1.04,-6.75
120,6.26,1.08,-6.97
130,6.39,1.12,-7.18
140,6.6,1.08,-7.24
150,6.59,1.0,-7.29
160,6.26,0.88,-7.17
170,6.01,0.69,-6.75
180,5.86,0.63,-6.56
190,5.49,0.53,-6.05
200,5.26,0.42,-5.38
210,5.05,0.49,-4.92
220,4.46,0.65,-4.6
230,3.76,0.8,-4.52
240,3.64,0.78,-4.56
250,4.0,0.52,-4.51
260,4.33,0.19,-4.54
270,4.69,-0.12,-4.51
280,5.19,-0.08,-5.03
290,5.29,0.07,-5.66
300,5.08,0.29,-5.91
310,5.03,0.79,-6.32
320,4.9,1.28,-6.89
330,4.73,1.38,-6.8
340,4.84,0.98,-6.09
350,5.17,0.55,-5.42
360,5.2,0.22,-5.44
370,5.22,0.02,-5.39
380,5.42,0.25,-6.41
390,6.18,0.88,-8.07
400,7.25,1.83,-10.22
410,7.69,2.59,-11.17
420,7.47,2.72,-10.71
430,6.99,2.28,-9.62
440,6.31,1.36,-7.65
450,7.5,0.89,-6.81
460,3.33,-0.79,-5.23
470,6.11,-1.02,-4.35
480,8.35,-0.67,-6.89
490,9.31,0.04,-9.11
500,9.57,1.12,-11.52
510,9.26,1.85,-12.91
520,9.11,2.12,-12.92
530,8.67,1.7,-11.46
540,8.02,0.76,-9.14
550,7.37,-0.09,-6.92
560,7.24,-0.34,-6.5
570,7.97,-0.11,-7.44
580,8.94,0.31,-8.98
590,9.54,0.97,-10.79
600,9.88,1.73,-12.14
610,10.2,2.33,-13.26
620,10.27,2.61,-13.48
630,9.64,2.73,-12.89
640,8.68,2.72,-11.89
650,7.75,2.7,-10.77
660,6.97,2.71,-9.83
670,6.46,2.59,-8.91
680,6.33,2.51,-8.16
690,6.31,2.6,-8.27
700,6.37,2.57,-8.28
710,6.65,2.4,-8.15
720,6.45,2.16,-7.94
730,6.18,1.99,-7.69
740,6.4,1.94,-7.58
750,7.1,1.95,-8.26
760,7.69,1.86,-8.88
770,7.85,1.54,-8.66
780,8.02,1.13,-8.13
790,7.84,0.69,-7.33
800,7.56,0.32,-6.35
810,7.18,0.19,-5.72
820,7.21,-0.2,-4.76
830,6.8,-0.63,-4.38
840,5.93,-0.98,-3.24
850,4.78,-0.57,-3.21
860,3.67,-0.04,-4.47
870,3.85,-0.11,-5.09
880,5.53,-0.81,-4.95
890,7.35,-1.46,-4.98
900,8.06,-1.58,-6.0
910,7.51,-1.28,-6.99
920,6.46,-1.25,-6.9
930,5.37,-1.47,-6.04
940,4.93,-1.66,-5.73
950,5.03,-1.77,-5.87
960,5.23,-1.56,-6.76
970,5.82,-1.35,-8.07
980,6.49,-1.18,-8.87
990,6.23,-1.18,-8.8
1000,5.71,-1.44,-7.69
